"Nome negozio","Via","Città","Provincia","CAP","Latitudine","Longitudine","Telefono","Orario","ID Direttore negozio","In attività","Servizi aggiuntivi"
"Caffè Italiano","Via del Gusto 1","Roma","RM","00100","41.8947","12.4838","06-1234567","8:00-20:00","201","Sì","Degustazione gratuita, Corsi di caffetteria"
"Macchine del Caffè","Piazza del Caffè 2","Milano","MI","20121","45.4642","9.1900","02-9876543","9:30-19:30","202","Sì","Assistenza tecnica, Consegna a domicilio"
"Caffè del Mondo","Corso del Gusto 5","Firenze","FI","50125","43.7737","11.2550","055-2345678","10:00-18:00","203","Sì","Corsi di latte art, Vendita di tazze e accessori"
"Espresso Express","Via del Buon Caffè 10","Napoli","NA","80132","40.8497","14.2683","081-3456789","7:00-21:00","204","Sì","Varietà di caffè in grani, Servizio di macinatura personalizzata"
"Caffè Gustoso","Via Aromatica 8","Bologna","BO","40128","44.4938","11.3387","051-9876543","8:30-20:00","205","Sì","Consegna a domicilio, Vendita di biscotti e dolci"
"Caffè d'Oro","Corso degli Aromi 15","Torino","TO","10123","45.0703","7.6869","011-2345678","9:00-19:00","206","Sì","Ricambi e accessori, Servizio di manutenzione delle macchine"
"Caffè in Fiore","Via dei Fiori 20","Venezia","VE","30124","45.4375","12.3341","041-7654321","10:30-19:30","207","Sì","Mole di caffè personalizzate, Vendita di tè e infusi"
"Barista Bar","Piazza dell'Espresso 3","Palermo","PA","90139","38.1157","13.3613","091-2345678","8:00-18:00","208","Sì","Formazione per baristi, Vendita di macchine da caffè professionali"
"Caffè Aroma","Via del Gusto 18","Milano","MI","20123","45.4664","9.1910","02-7654321","9:30-20:00","209","Sì","Esposizione di macchine vintage, Caffè biologico certificato"
"Delizia Caffè","Corso del Buon Gusto 12","Roma","RM","00196","41.9220","12.4825","06-9876543","10:00-19:30","210","Sì","Caffè a domicilio, Servizio di assistenza telefonica 24/7"